id,latitude,longitude,int_backrest
4017932257,43.496152,1.5343592,1
4899500476,43.4691732,1.5593344,1
4899500477,43.4844453,1.546779,1
9019891309,43.4587993,1.5776627,1
9609328330,43.4588394,1.5776608,1
12197591762,43.4574379,1.5227308,0
12197610267,43.4574212,1.5227036,0
12698916059,43.4386788,1.5950294,1
12698928949,43.4014854,1.5582126,1
3930507625,43.4344898,1.6643308,0
6329731165,43.4553533,1.6131275,1
6329731169,43.455418,1.6131572,1
8572886001,43.4367585,1.6611262,0
8572886007,43.436483,1.6610531,0
8572886010,43.4367443,1.6607578,0
8572886011,43.4367787,1.6605417,0
8572886012,43.4367513,1.6606813,0
8572886013,43.4367787,1.6604203,0
8572886014,43.4367152,1.6603402,0
8572930318,43.4364929,1.6605786,0
8572930319,43.4364522,1.6606109,0
9020137177,43.408012,1.6647776,1
9609327942,43.4080811,1.6647171,1
9750795393,43.4171963,1.628561,1
11987225430,43.4296518,1.6214323,0
12698938404,43.4327902,1.6609432,1
12706687646,43.4546576,1.6128456,1
12706715719,43.4515659,1.6144974,1
13127909940,43.4377546,1.614375,1
1012110161,43.400636,1.7152981,1
1012110165,43.4004027,1.7156356,1
5341165212,43.4028007,1.719026,0
5341170660,43.402516,1.7187935,1
5621367390,43.4044812,1.7166595,1
5621368544,43.403963,1.7166749,1
9609266635,43.4002762,1.7235128,0
10572835799,43.4993832,1.7031833,1
899344192,43.4279669,1.8962595,1
899344211,43.4287299,1.8978906,1
899344213,43.4283984,1.8976667,1
899344217,43.4292479,1.8974469,1
899344236,43.4279568,1.8969807,1
899344288,43.4269602,1.8970351,1
899344297,43.4288932,1.8979504,1
899344300,43.4286136,1.8978308,1
899344312,43.4291794,1.8979761,1
9838376470,43.4281922,1.8939929,0
9838376471,43.4282297,1.8940707,0
9838376487,43.4267975,1.8959147,0
9838376488,43.4268856,1.8959523,0
9838389119,43.4269886,1.8968907,1
6649604465,43.4815616,1.915743,0
9836553206,43.4512443,1.9995144,0
9836554228,43.4514471,1.998005,1
9836554229,43.4512521,1.998817,1
9838260729,43.4301036,1.9544426,0
3044560666,43.455381,2.0848398,0
4151897656,43.4528621,2.0668242,1
4151897658,43.4537004,2.0680395,1
4151897659,43.4537608,2.0679509,1
4151897661,43.4537929,2.0679442,1
4151897662,43.4537939,2.0679978,1
4151903358,43.452205,2.0652627,1
4151957974,43.4503701,2.0661597,1
4151957975,43.4503799,2.0659529,1
4151957979,43.4504957,2.0658125,1
4151957980,43.4505149,2.0655203,1
4151957983,43.4505787,2.0655518,1
4151957986,43.4506789,2.0663739,1
4159234977,43.4567018,2.0036085,1
4159234980,43.4567437,2.0034958,1
4159234981,43.4567583,2.0039029,1
4159234982,43.4567746,2.0034045,1
4159234983,43.4568207,2.0032697,1
4159234986,43.4568563,2.00318,1
5041320530,43.4620064,2.0050009,0
5041320531,43.4620317,2.0049325,0
6977087765,43.4115413,2.0788824,1
6977087766,43.4121215,2.0782686,0
6977087767,43.4124481,2.0771158,1
6977087774,43.4096797,2.0804,0
6987114925,43.4087216,2.0843357,1
9609282393,43.4541893,2.0156465,1
9609296421,43.4612393,2.0666062,1
9609303628,43.4507445,2.0462353,1
9723358556,43.4576333,2.0064506,0
9723358561,43.458085,2.0068931,0
9723358562,43.4581483,2.0067416,0
9724975373,43.4602215,2.0027449,1
9724975375,43.4603177,2.0027931,1
9724975376,43.4603112,2.0026667,1
9724975379,43.4602578,2.0026398,1
9725093089,43.4584614,2.0016505,1
9725138930,43.4581212,2.0017914,1
9725138933,43.4580268,2.0018142,1
9725138939,43.4579672,2.001925,0
9727747173,43.4571894,2.0031161,0
9727747174,43.4571456,2.0030852,0
9836157111,43.489233,2.0542013,0
9836157112,43.4893045,2.0542502,0
9836207949,43.4898107,2.0559796,0
9836207950,43.4899146,2.0560567,0
9836245941,43.4612179,2.0665294,0
9836258809,43.4552004,2.0701645,0
9836303638,43.4555903,2.0635428,0
9836326443,43.4548246,2.059447,0
9836382771,43.456733,2.0156669,0
9836424387,43.4546591,2.0144771,0
9836516717,43.4517642,2.0085186,0
9836526186,43.4518012,2.0075463,0
9836552818,43.4517579,2.0034559,1
10098109917,43.4128858,2.0819147,0
10225454503,43.4711874,2.0777563,0
10225454504,43.4711758,2.0777254,0
12985735803,43.4394305,2.0648999,0
13094431501,43.4047811,2.0934568,0
13094449501,43.4074534,2.0883688,0
3703656465,43.4357077,2.1810579,0
3703656486,43.4308741,2.1717902,0
7545817193,43.4836201,2.1416951,0
7545820682,43.4850241,2.1386007,1
3708502619,43.4235058,2.2786965,0
3708502620,43.4239013,2.2787984,0
4192013728,43.4417016,2.2586373,1
4192013741,43.4422965,2.2585073,1
4192013791,43.4446067,2.2607289,1
4192013895,43.4560774,2.2578861,1
11526475869,43.4386587,2.2604984,1
718967272,43.4960938,2.3794692,0
718967513,43.4968529,2.3847755,1
718967524,43.4968213,2.3874126,1
3705365240,43.4836815,2.3716153,0
3705365256,43.4818358,2.373544,0
3705365302,43.4808561,2.3742173,0
3705438778,43.4768919,2.3733458,0
3705481485,43.4791248,2.3778437,0
3705481490,43.4828699,2.3762244,0
3707183834,43.4648914,2.3429789,0
3707183835,43.4649138,2.3429614,0
3707183869,43.4501329,2.310352,0
3707183926,43.4600433,2.3443468,0
3707183930,43.4607113,2.340791,0
3707183931,43.4608063,2.339403,0
3707183937,43.4608223,2.3374494,0
3707183938,43.4604599,2.3358321,0
3707183941,43.4607968,2.3350735,0
3707183942,43.4609029,2.3351097,0
3707183943,43.4623032,2.3373206,0
3707183948,43.463201,2.3386096,0
3707183950,43.4640615,2.3406813,0
3707183956,43.4645125,2.3420043,0
3707183957,43.4646088,2.342243,0
3707215572,43.4901972,2.3766192,1
3707215575,43.4902701,2.3763041,1
4845209022,43.4954432,2.3977487,1
4845209024,43.4958552,2.3924728,1
6815897407,43.4958533,2.375637,1
6815897408,43.4960166,2.3756845,1
6815897410,43.495337,2.3754344,0
6815897412,43.4946702,2.3752107,1
6815897413,43.4948324,2.3752739,1
6815897414,43.4949606,2.3753188,1
6815897415,43.4949305,2.3753072,1
6815897416,43.4948648,2.3752833,1
6875161631,43.4950145,2.3761855,1
6875161632,43.4949833,2.3761582,1
6875161633,43.4953559,2.3760645,1
6875161635,43.4953562,2.3759714,1
6899004100,43.4963333,2.3640422,0
6899004101,43.4963643,2.3640715,0
6899004102,43.496394,2.3640995,0
6899004103,43.4963004,2.3642282,0
6899004137,43.4968655,2.3638334,0
6899004139,43.496762,2.3641225,0
6899004140,43.4965531,2.3642288,0
6903823613,43.4949596,2.3213165,0
6903823614,43.4950744,2.3213801,0
7022410730,43.476155,2.3786115,0
7024326212,43.4759684,2.3782299,0
7110389525,43.4754199,2.3793244,0
7110389526,43.475311,2.3777094,0
7110389527,43.4752034,2.3776426,0
9645414565,43.496151,2.3802694,0
9645414567,43.4962624,2.3810228,0
9645414568,43.4966058,2.3833885,0
9645424823,43.4964545,2.3889792,1
9645424955,43.496938,2.3866564,1
12037928180,43.4805391,2.3739111,1
12523043479,43.4953997,2.3754569,0
12523058706,43.4953669,2.3757922,1
12523084141,43.4957765,2.3757872,0
12523084142,43.4957599,2.3757891,0
12699297428,43.49691,2.3855742,1
13056443172,43.4631412,2.3762601,0
13056454341,43.4654023,2.379104,1
13056456159,43.4682076,2.3794054,0
13056463938,43.4699706,2.3785359,1
13098433404,43.4895065,2.3752805,0
690677129,43.5990243,1.1867088,0
6145170761,43.5077997,1.1747702,1
7154102554,43.5140733,1.1784055,1
7154102570,43.5145492,1.177575,0
7154102571,43.5145782,1.1776074,0
7154102572,43.5145967,1.1776844,0
7364294262,43.5149541,1.1625776,1
7819542199,43.5162921,1.1779861,1
7819759218,43.5140715,1.1783885,1
7819759219,43.5140609,1.1783908,1
7819759220,43.5140616,1.1784065,1
7819759238,43.5138004,1.1789616,1
7819759253,43.5139305,1.1792146,1
7819759255,43.5139041,1.1791653,1
7820341845,43.5136893,1.1799213,1
7820350417,43.5138032,1.1788252,1
7820350418,43.5137647,1.1787794,1
7820350430,43.5137408,1.1763717,1
7820350431,43.5138536,1.1764857,1
7820451662,43.5141793,1.1780314,1
7820451680,43.5162155,1.1781124,1
7820451682,43.516303,1.1780601,1
7853413719,43.5111093,1.1809359,0
7853413720,43.5111895,1.181019,0
7853413721,43.511262,1.1811049,0
7853652294,43.5098191,1.1849158,0
8094439566,43.5536109,1.1700241,0
8094439567,43.5537044,1.1700394,0
8094439568,43.553795,1.1700495,0
8094439569,43.5538834,1.1700627,0
8519943310,43.5117017,1.1815703,0
8519943311,43.5116841,1.1815387,0
9001755832,43.5184152,1.1841757,1
9003281673,43.5159857,1.1781727,0
9003281674,43.5160255,1.1780964,0
9013322107,43.5101078,1.1730906,0
9014417377,43.5104134,1.1728692,1
